GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_region_variant	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
C16orf71	ENSG00000166246	ENST00000619274	protein_coding	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	1
C16orf72	ENSG00000182831	ENST00000327827	protein_coding	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
C16orf72	ENSG00000182831	ENST00000574285	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
C16orf89	ENSG00000153446	ENST00000315997	protein_coding	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0
C16orf89	ENSG00000153446	ENST00000472572	protein_coding	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0
C16orf89	ENSG00000153446	ENST00000474471	protein_coding	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0
C16orf89	ENSG00000153446	ENST00000586629	retained_intron	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	1
C16orf89	ENSG00000153446	ENST00000591875	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
C16orf89	ENSG00000153446	ENST00000592343	retained_intron	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0
C16orf90	ENSG00000215131	ENST00000399645	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
C16orf90	ENSG00000215131	ENST00000437192	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
C16orf96	ENSG00000205832	ENST00000444310	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0
CACNA1H	ENSG00000196557	ENST00000348261	protein_coding	0	13	2	46	2	0	0	0	0	45	2	0	0	1	0	12	0
CACNA1H	ENSG00000196557	ENST00000358590	protein_coding	0	13	2	46	2	0	0	0	0	45	2	0	0	1	0	12	0
CACNA1H	ENSG00000196557	ENST00000562079	protein_coding	0	9	0	25	0	0	0	2	0	16	0	0	0	1	0	8	8
CACNA1H	ENSG00000196557	ENST00000564231	protein_coding	0	9	0	25	0	0	0	2	0	16	0	0	0	1	0	8	8
CACNA1H	ENSG00000196557	ENST00000564954	retained_intron	0	0	0	21	0	0	0	13	0	4	0	1	0	0	0	0	3
CACNA1H	ENSG00000196557	ENST00000565831	protein_coding	0	13	2	46	2	0	0	0	0	45	2	0	0	1	0	12	0
CACNA1H	ENSG00000196557	ENST00000569107	protein_coding	0	9	0	25	0	0	0	2	0	16	0	0	0	1	0	8	8
CACNA1H	ENSG00000196557	ENST00000569953	retained_intron	0	0	0	17	0	0	0	5	0	3	0	3	0	0	0	0	6
CACNA1H	ENSG00000196557	ENST00000637236	processed_transcript	0	0	0	22	0	0	0	10	0	2	0	2	0	0	0	0	8
CAPN15	ENSG00000103326	ENST00000219611	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
CAPN15	ENSG00000103326	ENST00000562370	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
CAPN15	ENSG00000103326	ENST00000565010	retained_intron	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
CAPN15	ENSG00000103326	ENST00000566977	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
CAPN15	ENSG00000103326	ENST00000567216	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
CAPN15	ENSG00000103326	ENST00000568402	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CAPN15	ENSG00000103326	ENST00000568988	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
CARHSP1	ENSG00000153048	ENST00000311052	protein_coding	0	1	1	4	0	0	0	1	0	3	0	0	1	0	0	1	0
CARHSP1	ENSG00000153048	ENST00000396593	protein_coding	0	1	0	5	0	0	0	2	0	3	0	0	0	0	0	1	0
CARHSP1	ENSG00000153048	ENST00000561530	protein_coding	0	1	0	4	0	0	0	1	0	3	0	0	0	0	0	1	0
CARHSP1	ENSG00000153048	ENST00000562586	retained_intron	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0
CARHSP1	ENSG00000153048	ENST00000562843	protein_coding	0	1	0	3	0	0	0	2	0	1	0	0	0	0	0	1	0
CARHSP1	ENSG00000153048	ENST00000563815	retained_intron	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0
CARHSP1	ENSG00000153048	ENST00000565287	protein_coding	0	1	0	4	0	0	0	1	0	3	0	0	0	0	0	1	0
CARHSP1	ENSG00000153048	ENST00000567554	protein_coding	0	1	0	4	0	0	0	1	0	3	0	0	0	0	0	1	0
CARHSP1	ENSG00000153048	ENST00000567626	processed_transcript	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0
CARHSP1	ENSG00000153048	ENST00000567908	protein_coding	0	1	0	4	0	0	0	1	0	3	0	0	0	0	0	1	0
CARHSP1	ENSG00000153048	ENST00000568117	protein_coding	0	1	0	4	0	0	0	1	0	3	0	0	0	0	0	1	0
CARHSP1	ENSG00000153048	ENST00000568968	protein_coding	0	0	1	4	0	0	0	1	0	3	1	0	0	0	0	0	0
CARHSP1	ENSG00000153048	ENST00000569398	protein_coding	0	0	0	4	0	0	0	3	0	1	0	0	0	0	0	0	0
CARHSP1	ENSG00000153048	ENST00000569572	retained_intron	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0
CARHSP1	ENSG00000153048	ENST00000570125	protein_coding	0	1	0	4	0	0	0	1	0	3	0	0	0	0	0	1	0
CARHSP1	ENSG00000153048	ENST00000610831	protein_coding	0	1	0	5	0	0	0	2	0	3	0	0	0	0	0	1	0
CARHSP1	ENSG00000153048	ENST00000611932	protein_coding	0	1	0	5	0	0	0	2	0	3	0	0	0	0	0	1	0
CARHSP1	ENSG00000153048	ENST00000614449	protein_coding	0	1	0	5	0	0	0	2	0	3	0	0	0	0	0	1	0
CARHSP1	ENSG00000153048	ENST00000618335	protein_coding	0	1	0	5	0	0	0	2	0	3	0	0	0	0	0	1	0
CARHSP1	ENSG00000153048	ENST00000619881	protein_coding	0	1	0	5	0	0	0	2	0	3	0	0	0	0	0	1	0
CASKIN1	ENSG00000167971	ENST00000343516	protein_coding	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	1
CASKIN1	ENSG00000167971	ENST00000562055	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
CASP16P	ENSG00000228146	ENST00000428155	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CASP16P	ENSG00000228146	ENST00000575497	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CASP16P	ENSG00000228146	ENST00000635032	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC154	ENSG00000197599	ENST00000389176	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	2
CCDC154	ENSG00000197599	ENST00000409671	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	2
CCDC154	ENSG00000197599	ENST00000463299	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
CCDC154	ENSG00000197599	ENST00000483702	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
CCDC78	ENSG00000162004	ENST00000293889	protein_coding	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CCDC78	ENSG00000162004	ENST00000345165	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
CCDC78	ENSG00000162004	ENST00000423653	protein_coding	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CCDC78	ENSG00000162004	ENST00000439619	retained_intron	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CCDC78	ENSG00000162004	ENST00000460023	retained_intron	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CCDC78	ENSG00000162004	ENST00000463539	retained_intron	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CCDC78	ENSG00000162004	ENST00000466708	retained_intron	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CCDC78	ENSG00000162004	ENST00000471861	retained_intron	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CCDC78	ENSG00000162004	ENST00000474647	retained_intron	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CCDC78	ENSG00000162004	ENST00000478979	retained_intron	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CCDC78	ENSG00000162004	ENST00000481804	retained_intron	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CCDC78	ENSG00000162004	ENST00000482152	retained_intron	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
CCDC78	ENSG00000162004	ENST00000482878	retained_intron	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0
CCDC78	ENSG00000162004	ENST00000485091	retained_intron	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CCDC78	ENSG00000162004	ENST00000538176	retained_intron	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CCDC78	ENSG00000162004	ENST00000544996	retained_intron	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
CCNF	ENSG00000162063	ENST00000293968	nonsense_mediated_decay	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	1
CCNF	ENSG00000162063	ENST00000397066	protein_coding	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	1
CCNF	ENSG00000162063	ENST00000564236	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCNF	ENSG00000162063	ENST00000564333	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CCNF	ENSG00000162063	ENST00000569093	retained_intron	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
CDIP1	ENSG00000089486	ENST00000562334	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
CDIP1	ENSG00000089486	ENST00000562579	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
CDIP1	ENSG00000089486	ENST00000563332	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
CDIP1	ENSG00000089486	ENST00000563507	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
CDIP1	ENSG00000089486	ENST00000564828	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
CDIP1	ENSG00000089486	ENST00000567695	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
CDIP1	ENSG00000089486	ENST00000586728	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
CDIP1	ENSG00000089486	ENST00000586768	processed_transcript	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
CDIP1	ENSG00000089486	ENST00000588381	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
CEMP1	ENSG00000205923	ENST00000565480	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CEMP1	ENSG00000205923	ENST00000567119	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CHTF18	ENSG00000127586	ENST00000262315	protein_coding	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CHTF18	ENSG00000127586	ENST00000317063	protein_coding	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CHTF18	ENSG00000127586	ENST00000426047	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CHTF18	ENSG00000127586	ENST00000440239	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
CHTF18	ENSG00000127586	ENST00000455171	protein_coding	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CHTF18	ENSG00000127586	ENST00000461268	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
CHTF18	ENSG00000127586	ENST00000464728	retained_intron	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CHTF18	ENSG00000127586	ENST00000471202	retained_intron	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CHTF18	ENSG00000127586	ENST00000479976	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CHTF18	ENSG00000127586	ENST00000484349	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CHTF18	ENSG00000127586	ENST00000491530	processed_transcript	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CHTF18	ENSG00000127586	ENST00000493715	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CHTF18	ENSG00000127586	ENST00000498439	retained_intron	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
CHTF18	ENSG00000127586	ENST00000563545	nonsense_mediated_decay	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CHTF18	ENSG00000127586	ENST00000564940	processed_transcript	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CHTF18	ENSG00000127586	ENST00000565787	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CHTF18	ENSG00000127586	ENST00000567620	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CHTF18	ENSG00000127586	ENST00000569270	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
CHTF18	ENSG00000127586	ENST00000570058	processed_transcript	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
